ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
117	53,70,76,59,59,62,48,48,68,36	129,160,127,141,122,152,114,156,97,175	52,48,53,48,57,60,62,45,47,69	120,119,117,112,120,135,121,123,155,162	1493	75
118	135,123,120,124,121,178,128,129,136,130	32,30,34,29,42,36,41,34,30,34	125,122,118,128,128,115,142,128,141,194	42,29,37,33,48,41,31,39,31,33	1563	75
119	128,122,119,121,119,168,121,123,127,127	0,1,0,0,0,0,0,0,0,1	120,119,113,123,124,114,135,125,138,190	0,0,0,0,0,0,0,0,0,1	1543	75
120	0,0,1,1,0,0,0,0,0,1	39,49,43,53,42,48,35,46,31,43	1,0,0,0,0,0,1,1,2,0	42,45,40,54,47,57,44,51,47,28	162	75
121	2,0,0,0,1,1,1,0,1,0	27,40,38,22,30,17,19,23,23,25	1,2,0,0,1,0,1,2,2,0	29,29,28,38,36,26,46,25,34,33	162	75
122	7,0,7,5,2,1,1,4,0,1	25,38,32,23,26,32,12,27,20,22	2,1,2,1,2,2,5,0,1,4	29,34,22,41,21,28,27,25,19,23	592	75
123	1,0,0,0,0,1,1,0,0,1	37,29,32,44,52,29,22,30,26,45	0,1,0,0,0,0,1,0,0,1	30,32,42,36,39,26,41,39,40,41	169	75
124	4,2,1,3,1,0,2,4,1,1	35,47,46,40,36,33,26,34,32,45	3,2,1,1,3,1,1,0,4,1	38,29,38,57,31,34,33,35,45,46	330	75
125	42,48,36,26,28,25,22,30,30,25	0,0,0,0,0,0,0,0,1,0	36,28,36,38,36,26,35,37,40,40	0,0,0,0,0,1,0,0,0,0	544	75
126	0,2,0,0,0,0,1,1,1,0	40,41,47,41,45,51,28,43,46,38	0,0,0,0,0,0,0,0,0,2	54,52,42,50,55,28,46,62,51,59	160	75
127	0,0,0,0,0,0,0,0,0,0	2,5,3,4,0,5,1,5,2,4	0,2,0,0,0,0,0,0,0,0	3,4,5,8,1,1,2,2,2,3	194	75
128	9,13,10,11,5,14,9,25,13,14	0,0,0,0,0,0,0,0,0,1	9,8,17,4,17,9,22,14,14,4	0,0,1,0,3,0,1,0,0,1	591	75
129	2,0,0,1,0,0,0,0,0,0	0,0,4,0,1,0,0,0,0,0	0,2,0,0,0,0,0,0,1,1	0,0,0,0,0,2,0,0,0,0	160	75
130	0,1,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	0,0,1,0,0,0,2,0,0,0	152	75
131	0,0,0,1,1,0,0,0,0,0	0,0,1,0,0,2,0,1,0,1	0,0,1,0,0,1,0,0,1,2	1,0,1,0,1,0,0,0,1,1	362	75
132	0,3,4,2,1,0,0,0,1,0	4,8,0,2,1,2,2,2,2,1	1,1,0,0,1,0,1,0,0,1	2,2,1,0,1,2,1,0,0,1	555	75
133	0,0,0,1,0,0,0,0,0,0	1,3,2,2,1,2,3,2,2,3	0,0,0,0,0,0,0,0,1,1	1,2,2,5,0,4,4,0,3,2	530	75
134	0,0,0,1,0,0,0,0,3,0	2,2,3,2,2,1,3,2,3,3	3,0,0,0,0,0,1,0,0,0	3,4,5,4,2,1,4,4,0,1	386	75
135	0,1,0,0,0,0,0,0,0,0	67,74,73,75,72,49,73,78,51,62	0,0,0,0,0,0,0,0,0,0	81,63,92,78,92,78,64,56,77,52	236	75
136	14,24,37,68,38,24,33,42,37,8	1,4,0,5,1,4,1,5,3,2	49,29,63,30,47,41,34,14,15,38	3,1,4,1,5,2,2,2,4,5	699	75
138	5,2,6,5,6,5,8,6,5,6	0,0,0,0,3,0,2,0,0,0	5,5,5,3,10,6,4,7,9,16	0,2,2,0,0,1,0,0,0,0	160	75
139	5,4,9,8,11,5,11,10,6,10	6,7,8,6,11,5,3,7,7,7	7,6,6,3,10,7,7,8,12,27	9,9,5,6,5,5,4,7,10,5	186	75
141	42,30,43,47,36,35,26,28,31,40	46,42,38,44,30,33,31,24,38,41	43,39,36,38,42,35,35,28,49,42	38,26,31,29,27,23,48,26,34,42	195	75
142	26,33,28,32,22,4,15,12,19,13	0,1,0,1,0,0,0,0,1,1	30,22,25,22,34,27,32,18,8,7	1,0,0,0,4,1,0,0,0,0	201	75
143	56,69,94,97,69,45,67,73,62,79	135,146,155,131,145,111,106,141,127,135	63,38,47,49,85,54,54,55,89,98	148,118,122,147,138,142,150,130,153,114	898	75
144	4,5,3,7,1,2,9,2,3,7	139,173,172,158,167,150,124,165,124,137	13,1,4,3,5,2,5,4,8,7	155,140,180,140,133,167,153,172,139,170	242	75
146	12,17,24,11,14,16,12,17,15,22	0,0,0,0,0,0,0,0,0,0	16,11,16,16,19,18,15,13,12,17	0,0,0,0,1,0,0,0,0,2	684	75
147	1,0,1,0,2,0,0,0,0,1	57,38,27,3,22,6,3,30,30,22	0,0,0,0,0,0,0,0,0,0	10,1,5,14,1,5,42,3,3,2	155	75
148	17,22,27,18,14,26,28,15,13,17	51,59,56,51,35,44,45,48,67,62	16,17,14,27,19,10,14,15,23,25	65,93,45,49,66,58,64,42,67,64	2193	75
