ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
161	27,23,26,24,22,11,16,11,24,27	4,0,4,2,4,5,1,1,5,0	12,13,12,17,18,16,19,16,12,10	1,1,4,3,4,1,4,4,4,1	150	75
162	1,1,2,3,2,4,4,2,6,2	1,3,2,3,2,4,1,2,2,1	1,5,1,2,1,0,4,3,5,1	2,1,3,7,3,3,0,2,0,4	150	75
163	0,0,0,0,1,0,0,0,0,0	0,2,0,0,0,1,1,0,1,1	0,3,0,0,0,0,0,0,2,0	0,0,0,1,0,0,1,0,1,0	81	75
164	43,38,50,34,39,36,27,24,40,34	0,0,2,0,1,0,0,0,0,0	40,35,38,34,33,42,33,31,37,40	1,0,0,0,0,0,0,0,1,0	150	75
165	101,102,117,107,98,91,90,88,115,115	0,0,0,0,0,0,0,0,0,0	113,95,83,86,87,105,101,86,102,79	0,0,0,1,0,0,0,0,0,0	150	75
166	2,0,1,0,0,0,3,0,0,1	14,13,19,19,23,16,4,11,13,15	1,2,0,0,3,0,0,1,0,1	22,13,14,14,13,13,17,16,7,14	150	75
167	4,2,0,1,3,1,3,3,2,1	0,0,0,0,0,0,0,1,0,0	4,1,1,1,3,0,5,2,4,1	0,0,0,2,0,0,0,1,0,0	100	75
168	7,3,4,7,4,5,8,6,5,6	15,14,14,14,15,11,14,9,16,9	8,5,3,3,14,2,10,2,12,4	11,11,13,10,13,12,18,16,14,10	100	75
169	8,14,7,7,16,12,7,8,11,8	0,0,0,0,0,0,0,0,0,0	5,3,7,11,16,13,14,7,7,7	0,0,0,0,0,0,0,0,0,2	150	75
170	11,11,7,8,15,12,11,2,7,12	0,0,0,0,0,0,0,0,1,0	8,5,8,14,13,10,8,9,5,8	0,2,0,1,0,0,0,0,0,0	150	75
171	8,10,6,5,8,6,9,1,5,10	0,0,0,0,0,0,0,0,1,0	6,4,7,13,6,4,5,6,3,8	0,2,0,1,0,0,0,0,0,0	150	75
172	0,0,0,0,1,0,1,0,1,0	74,64,51,60,44,62,51,53,58,36	0,0,0,0,0,0,0,0,0,0	65,56,55,57,65,44,57,52,73,57	79	75
174	0,1,0,0,0,1,0,0,0,0	13,10,16,12,7,12,16,12,8,12	0,1,0,1,0,1,0,0,0,0	7,11,11,8,5,14,11,9,5,10	138	75
175	1,4,0,3,0,1,0,3,0,2	0,0,0,0,0,0,0,1,0,0	4,1,4,4,0,2,5,5,3,1	0,0,0,0,0,0,0,0,0,0	129	75
176	292,256,279,257,262,215,220,220,241,236	0,1,0,0,0,0,1,0,1,0	248,256,235,252,293,271,288,235,261,197	0,0,0,0,1,0,0,0,0,0	150	75
177	0,0,3,1,0,3,1,2,2,0	0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,3,0,1,0,1	0,0,0,0,0,0,0,0,0,0	150	75
178	78,69,77,60,62,57,44,44,74,60	5,14,15,9,7,4,3,8,8,9	83,60,54,63,65,67,73,64,78,56	13,12,4,9,8,5,8,9,13,7	144	75
179	58,79,98,59,96,68,58,62,84,59	0,0,0,0,0,0,0,0,0,0	73,64,68,67,62,66,64,53,62,61	0,0,0,0,1,0,0,0,4,0	150	75
180	52,76,87,54,82,53,43,57,75,62	0,0,0,1,0,0,0,0,0,0	69,71,65,57,59,63,62,51,51,58	0,0,0,0,0,0,0,0,0,0	150	75
181	10,9,12,10,11,6,7,7,7,13	0,0,0,1,0,0,0,0,0,0	11,20,17,10,10,13,14,9,9,9	0,0,0,0,0,0,0,0,0,0	115	75
185	5,4,3,3,1,3,3,5,0,2	28,33,34,28,20,15,23,27,26,29	8,2,5,4,3,4,2,2,2,1	22,24,19,13,25,31,26,25,25,17	78	75
186	2318,2185,2388,1972,1994,1946,1899,1601,1851,2003	1,3,1,3,1,2,2,0,0,0	2213,2060,2012,1942,2113,2229,2293,1869,1984,1948	6,2,4,4,1,0,3,0,0,1	133	75
187	1282,1189,1281,1039,1091,1063,1011,851,964,1096	0,0,0,0,0,0,0,0,0,0	1221,1127,1115,1017,1174,1141,1226,1008,1028,1036	0,0,0,0,0,1,0,0,0,0	133	75
188	402,404,456,380,366,433,364,292,350,417	0,0,0,1,0,3,0,0,2,0	415,404,396,416,414,407,453,377,426,350	5,0,0,0,0,3,0,2,0,0	150	75
189	699,692,823,619,645,660,587,482,600,658	0,0,0,1,0,3,0,0,2,0	689,655,669,657,669,680,751,626,671,571	5,0,0,0,0,3,0,2,0,0	150	75
190	329,325,405,266,309,256,249,211,270,277	1,0,0,0,0,0,0,0,0,1	301,276,307,265,284,305,331,270,280,244	0,0,0,0,0,0,0,0,0,0	82	75
